Aggregated Community-Scale Utility Energy Data,,,,,
,,,,,
Municipality,County,Municipality,Year,Total Residential Electricity,Total Residential Natural Gas
Franklin township,Gloucester,"Franklin township, Gloucester County",2020,52926324,2468057
Franklin township,Gloucester,"Franklin township, Gloucester County",2021,53889234,2730806
Franklin township,Hunterdon,"Franklin township, Hunterdon County",2015,15853563,36511
Franklin township,Hunterdon,"Franklin township, Hunterdon County",2016,NDA,38276
Franklin township,Hunterdon,"Franklin township, Hunterdon County",2017,NDA,39258
Franklin township,Hunterdon,"Franklin township, Hunterdon County",2018,16049324,46823
Franklin township,Hunterdon,"Franklin township, Hunterdon County",2019,15766233,46426
Franklin township,Hunterdon,"Franklin township, Hunterdon County",2020,16192125,70858
Franklin township,Hunterdon,"Franklin township, Hunterdon County",2021,16933815,94368
Franklin township,Somerset,"Franklin township, Somerset County",2015,198999214,20288012
Franklin township,Somerset,"Franklin township, Somerset County",2016,198229129,17762258
Franklin township,Somerset,"Franklin township, Somerset County",2017,188504560,18646131
Franklin township,Somerset,"Franklin township, Somerset County",2018,195703225,20025249
Franklin township,Somerset,"Franklin township, Somerset County",2019,191528365,20044588
Franklin township,Somerset,"Franklin township, Somerset County",2020,198418036,18463989
Franklin township,Somerset,"Franklin township, Somerset County",2021,201754012,19745217
Franklin township,Warren,"Franklin township, Warren County",2015,14273284,143320
Franklin township,Warren,"Franklin township, Warren County",2016,NDA,148901
Franklin township,Warren,"Franklin township, Warren County",2017,NDA,162906
Franklin township,Warren,"Franklin township, Warren County",2018,13717704,185272
Franklin township,Warren,"Franklin township, Warren County",2019,13494269,553847
Franklin township,Warren,"Franklin township, Warren County",2020,13736408,749063
Franklin township,Warren,"Franklin township, Warren County",2021,14225353,1064084
Fredon township,Sussex,"Fredon township, Sussex County",2015,15529369,77919
Fredon township,Sussex,"Fredon township, Sussex County",2016,NDA,79615
Fredon township,Sussex,"Fredon township, Sussex County",2017,NDA,88257
Fredon township,Sussex,"Fredon township, Sussex County",2018,15437081,100233
Fredon township,Sussex,"Fredon township, Sussex County",2019,14915730,96320
Fredon township,Sussex,"Fredon township, Sussex County",2020,15305172,127633
Fredon township,Sussex,"Fredon township, Sussex County",2021,15765075,181081
Freehold borough,Monmouth,"Freehold borough, Monmouth County",2015,28574328,2712823
Freehold borough,Monmouth,"Freehold borough, Monmouth County",2016,NDA,2217790
Freehold borough,Monmouth,"Freehold borough, Monmouth County",2017,NDA,2292731
Freehold borough,Monmouth,"Freehold borough, Monmouth County",2018,30914161,2947733
Freehold borough,Monmouth,"Freehold borough, Monmouth County",2019,28878447,2654494
Freehold borough,Monmouth,"Freehold borough, Monmouth County",2020,28428008,2688144
Freehold borough,Monmouth,"Freehold borough, Monmouth County",2021,29974432,2454557
Freehold township,Monmouth,"Freehold township, Monmouth County",2015,140807249,10981187
Freehold township,Monmouth,"Freehold township, Monmouth County",2016,NDA,9858987
Freehold township,Monmouth,"Freehold township, Monmouth County",2017,NDA,10031841
Freehold township,Monmouth,"Freehold township, Monmouth County",2018,139193742,11879251
Freehold township,Monmouth,"Freehold township, Monmouth County",2019,133476530,11187226
Freehold township,Monmouth,"Freehold township, Monmouth County",2020,136650955,10893370
Freehold township,Monmouth,"Freehold township, Monmouth County",2021,140546700,10893050
Frelinghuysen township,Warren,"Frelinghuysen township, Warren County",2015,10127376,NDA
Frelinghuysen township,Warren,"Frelinghuysen township, Warren County",2016,NDA,NDA
Frelinghuysen township,Warren,"Frelinghuysen township, Warren County",2017,NDA,NDA
Frelinghuysen township,Warren,"Frelinghuysen township, Warren County",2018,10114913,NDA
Frelinghuysen township,Warren,"Frelinghuysen township, Warren County",2019,9730749,NDA
Frelinghuysen township,Warren,"Frelinghuysen township, Warren County",2020,9844435,NDA
Frelinghuysen township,Warren,"Frelinghuysen township, Warren County",2021,10260334,NDA
Frenchtown borough,Hunterdon,"Frenchtown borough, Hunterdon County",2015,6292627,108000
Frenchtown borough,Hunterdon,"Frenchtown borough, Hunterdon County",2016,NDA,114420
Frenchtown borough,Hunterdon,"Frenchtown borough, Hunterdon County",2017,NDA,133916
Frenchtown borough,Hunterdon,"Frenchtown borough, Hunterdon County",2018,6190169,162817
Frenchtown borough,Hunterdon,"Frenchtown borough, Hunterdon County",2019,6048117,162134
Frenchtown borough,Hunterdon,"Frenchtown borough, Hunterdon County",2020,6160017,273677
Frenchtown borough,Hunterdon,"Frenchtown borough, Hunterdon County",2021,6375115,371409
Galloway township,Atlantic,"Galloway township, Atlantic County",2015,123763842,9420115
Galloway township,Atlantic,"Galloway township, Atlantic County",2016,116873442,8246676
Galloway township,Atlantic,"Galloway township, Atlantic County",2017,108187963,8063774
Galloway township,Atlantic,"Galloway township, Atlantic County",2018,114930756,9596138
Galloway township,Atlantic,"Galloway township, Atlantic County",2019,108857203,9024699
Galloway township,Atlantic,"Galloway township, Atlantic County",2020,109337034,8469351
Galloway township,Atlantic,"Galloway township, Atlantic County",2021,109731864,8659515
Garfield city,Bergen,"Garfield city, Bergen County",2015,65497517,8069022
Garfield city,Bergen,"Garfield city, Bergen County",2016,65980097,7387202
Garfield city,Bergen,"Garfield city, Bergen County",2017,62779413,7654255
Garfield city,Bergen,"Garfield city, Bergen County",2018,66502849,8361707
Garfield city,Bergen,"Garfield city, Bergen County",2019,63563960,8147206
Garfield city,Bergen,"Garfield city, Bergen County",2020,66340735,7481107
Garfield city,Bergen,"Garfield city, Bergen County",2021,66180588,7749498
Garwood borough,Union,"Garwood borough, Union County",2015,13004198,1157604
Garwood borough,Union,"Garwood borough, Union County",2016,12925393,1169063
Garwood borough,Union,"Garwood borough, Union County",2017,13180139,1247689
Garwood borough,Union,"Garwood borough, Union County",2018,13080246,1414716
Garwood borough,Union,"Garwood borough, Union County",2019,12428651,1344387
Garwood borough,Union,"Garwood borough, Union County",2020,12873624,1801131
Garwood borough,Union,"Garwood borough, Union County",2021,13109512,2547941
Gibbsboro borough,Camden,"Gibbsboro borough, Camden County",2015,8827744,745460
Gibbsboro borough,Camden,"Gibbsboro borough, Camden County",2016,8505378,602360
Gibbsboro borough,Camden,"Gibbsboro borough, Camden County",2017,7907002,632483
Gibbsboro borough,Camden,"Gibbsboro borough, Camden County",2018,8276489,741251
Gibbsboro borough,Camden,"Gibbsboro borough, Camden County",2019,7740900,682109
Gibbsboro borough,Camden,"Gibbsboro borough, Camden County",2020,8142819,640332
Gibbsboro borough,Camden,"Gibbsboro borough, Camden County",2021,8270337,689756
Glassboro borough,Gloucester,"Glassboro borough, Gloucester County",2015,60054795,4306391
Glassboro borough,Gloucester,"Glassboro borough, Gloucester County",2016,59817624,3731614
Glassboro borough,Gloucester,"Glassboro borough, Gloucester County",2017,56267611,3729800
Glassboro borough,Gloucester,"Glassboro borough, Gloucester County",2018,59256299,4518247
Glassboro borough,Gloucester,"Glassboro borough, Gloucester County",2019,55578104,4108255
Glassboro borough,Gloucester,"Glassboro borough, Gloucester County",2020,57372803,3874753
Glassboro borough,Gloucester,"Glassboro borough, Gloucester County",2021,58423071,4058806
Glen Gardner borough,Hunterdon,"Glen Gardner borough, Hunterdon County",2015,6422378,335456
Glen Gardner borough,Hunterdon,"Glen Gardner borough, Hunterdon County",2016,NDA,344926
Glen Gardner borough,Hunterdon,"Glen Gardner borough, Hunterdon County",2017,NDA,362769
Glen Gardner borough,Hunterdon,"Glen Gardner borough, Hunterdon County",2018,6325439,404785
Glen Gardner borough,Hunterdon,"Glen Gardner borough, Hunterdon County",2019,6170837,382837
Glen Gardner borough,Hunterdon,"Glen Gardner borough, Hunterdon County",2020,6337984,602414
Glen Gardner borough,Hunterdon,"Glen Gardner borough, Hunterdon County",2021,6452296,754198
Glen Ridge borough,Essex,"Glen Ridge borough, Essex County",2015,26384708,3554908
Glen Ridge borough,Essex,"Glen Ridge borough, Essex County",2016,26048147,3127350
Glen Ridge borough,Essex,"Glen Ridge borough, Essex County",2017,24779177,3210888
Glen Ridge borough,Essex,"Glen Ridge borough, Essex County",2018,26461028,3671499
Glen Ridge borough,Essex,"Glen Ridge borough, Essex County",2019,24783776,3318234
Glen Ridge borough,Essex,"Glen Ridge borough, Essex County",2020,26688598,3207202
Glen Ridge borough,Essex,"Glen Ridge borough, Essex County",2021,27055943,3380395
Glen Rock borough,Bergen,"Glen Rock borough, Bergen County",2015,42447563,5444279
Glen Rock borough,Bergen,"Glen Rock borough, Bergen County",2016,41759231,4699125
Glen Rock borough,Bergen,"Glen Rock borough, Bergen County",2017,39775070,4897744
Glen Rock borough,Bergen,"Glen Rock borough, Bergen County",2018,42217849,5616621
Glen Rock borough,Bergen,"Glen Rock borough, Bergen County",2019,39927303,5289598
Glen Rock borough,Bergen,"Glen Rock borough, Bergen County",2020,41931415,4836899
Glen Rock borough,Bergen,"Glen Rock borough, Bergen County",2021,41489341,5108800
Gloucester City city,Camden,"Gloucester City city, Camden County",2015,34068289,2712389
Gloucester City city,Camden,"Gloucester City city, Camden County",2016,33913199,2523781
Gloucester City city,Camden,"Gloucester City city, Camden County",2017,31877634,2477959
Gloucester City city,Camden,"Gloucester City city, Camden County",2018,34840683,2867094
Gloucester City city,Camden,"Gloucester City city, Camden County",2019,34012210,2779735
Gloucester City city,Camden,"Gloucester City city, Camden County",2020,35056337,2528529
Gloucester City city,Camden,"Gloucester City city, Camden County",2021,36115455,2696646
Gloucester township,Camden,"Gloucester township, Camden County",2015,184076889,15253465
Gloucester township,Camden,"Gloucester township, Camden County",2016,179119802,12888651
Gloucester township,Camden,"Gloucester township, Camden County",2017,165220999,12658690
Gloucester township,Camden,"Gloucester township, Camden County",2018,175603708,15306421
Gloucester township,Camden,"Gloucester township, Camden County",2019,168247100,14251380
Gloucester township,Camden,"Gloucester township, Camden County",2020,171364714,13246507
Gloucester township,Camden,"Gloucester township, Camden County",2021,173778510,14183254
Green Brook township,Somerset,"Green Brook township, Somerset County",2015,26388884,2854754
Green Brook township,Somerset,"Green Brook township, Somerset County",2016,25840233,2369987
Green Brook township,Somerset,"Green Brook township, Somerset County",2017,24488512,2571217
Green Brook township,Somerset,"Green Brook township, Somerset County",2018,26187450,2922389
Green Brook township,Somerset,"Green Brook township, Somerset County",2019,24943462,2689981
Green Brook township,Somerset,"Green Brook township, Somerset County",2020,26042799,2500289
Green Brook township,Somerset,"Green Brook township, Somerset County",2021,26322543,2654559
Green township,Sussex,"Green township, Sussex County",2015,19167313,NDA
Green township,Sussex,"Green township, Sussex County",2016,NDA,NDA
Green township,Sussex,"Green township, Sussex County",2017,NDA,NDA
Green township,Sussex,"Green township, Sussex County",2018,19331911,NDA
Green township,Sussex,"Green township, Sussex County",2019,18584749,NDA
Green township,Sussex,"Green township, Sussex County",2020,18985613,NDA
Green township,Sussex,"Green township, Sussex County",2021,19396602,NDA
Greenwich township,Cumberland,"Greenwich township, Cumberland County",2015,3571116,939007
Greenwich township,Cumberland,"Greenwich township, Cumberland County",2016,3308339,896796
Greenwich township,Cumberland,"Greenwich township, Cumberland County",2017,3123992,858830
Greenwich township,Cumberland,"Greenwich township, Cumberland County",2018,3268381,973294
Greenwich township,Cumberland,"Greenwich township, Cumberland County",2019,3072711,967161
Greenwich township,Cumberland,"Greenwich township, Cumberland County",2020,3208779,895240
Greenwich township,Cumberland,"Greenwich township, Cumberland County",2021,3219860,977582
Greenwich township,Gloucester,"Greenwich township, Gloucester County",2015,18635785,377539
Greenwich township,Gloucester,"Greenwich township, Gloucester County",2016,18844491,361928
Greenwich township,Gloucester,"Greenwich township, Gloucester County",2017,16994049,340831
Greenwich township,Gloucester,"Greenwich township, Gloucester County",2018,17019285,378974
Greenwich township,Gloucester,"Greenwich township, Gloucester County",2019,16874323,373997
Greenwich township,Gloucester,"Greenwich township, Gloucester County",2020,17081101,358621
Greenwich township,Gloucester,"Greenwich township, Gloucester County",2021,17271228,412432
Greenwich township,Warren,"Greenwich township, Warren County",2015,20647153,1470186
Greenwich township,Warren,"Greenwich township, Warren County",2016,NDA,1518081
Greenwich township,Warren,"Greenwich township, Warren County",2017,NDA,1585982
Greenwich township,Warren,"Greenwich township, Warren County",2018,20499756,1810081
