Aggregated Community-Scale Utility Energy Data,,,,,
,,,,,
Municipality,County,Municipality,Year,Total Residential Electricity,Total Residential Natural Gas
Belmar borough,Monmouth,"Belmar borough, Monmouth County",2021,27012138,2143132
Belvidere town,Warren,"Belvidere town, Warren County",2015,10708059,168162
Belvidere town,Warren,"Belvidere town, Warren County",2016,NDA,173555
Belvidere town,Warren,"Belvidere town, Warren County",2017,NDA,202550
Belvidere town,Warren,"Belvidere town, Warren County",2018,10263400,243984
Belvidere town,Warren,"Belvidere town, Warren County",2019,10042320,264795
Belvidere town,Warren,"Belvidere town, Warren County",2020,10442555,393685
Belvidere town,Warren,"Belvidere town, Warren County",2021,10739574,606758
Bergenfield borough,Bergen,"Bergenfield borough, Bergen County",2015,69399008,7996343
Bergenfield borough,Bergen,"Bergenfield borough, Bergen County",2016,68297992,6679602
Bergenfield borough,Bergen,"Bergenfield borough, Bergen County",2017,65379208,7045148
Bergenfield borough,Bergen,"Bergenfield borough, Bergen County",2018,69316537,7912407
Bergenfield borough,Bergen,"Bergenfield borough, Bergen County",2019,65982982,7698067
Bergenfield borough,Bergen,"Bergenfield borough, Bergen County",2020,69714154,6997191
Bergenfield borough,Bergen,"Bergenfield borough, Bergen County",2021,69607368,7413450
Berkeley heights township,Union,"Berkeley heights township, Union County",2015,45279710,5374061
Berkeley heights township,Union,"Berkeley heights township, Union County",2016,NDA,4452837
Berkeley heights township,Union,"Berkeley heights township, Union County",2017,NDA,4900845
Berkeley heights township,Union,"Berkeley heights township, Union County",2018,44184184,5524462
Berkeley heights township,Union,"Berkeley heights township, Union County",2019,43152813,5208975
Berkeley heights township,Union,"Berkeley heights township, Union County",2020,44540918,4827906
Berkeley heights township,Union,"Berkeley heights township, Union County",2021,45712802,5052953
Berkeley township,Ocean,"Berkeley township, Ocean County",2015,166154977,17199365
Berkeley township,Ocean,"Berkeley township, Ocean County",2016,NDA,16397706
Berkeley township,Ocean,"Berkeley township, Ocean County",2017,NDA,16386476
Berkeley township,Ocean,"Berkeley township, Ocean County",2018,164739367,18208654
Berkeley township,Ocean,"Berkeley township, Ocean County",2019,160428204,17256292
Berkeley township,Ocean,"Berkeley township, Ocean County",2020,163915258,2086597
Berkeley township,Ocean,"Berkeley township, Ocean County",2021,167858591,2184635
Berlin borough,Camden,"Berlin borough, Camden County",2015,42414229,2827050
Berlin borough,Camden,"Berlin borough, Camden County",2016,40922364,2323964
Berlin borough,Camden,"Berlin borough, Camden County",2017,38070789,2349720
Berlin borough,Camden,"Berlin borough, Camden County",2018,40317981,2840145
Berlin borough,Camden,"Berlin borough, Camden County",2019,38263178,2624544
Berlin borough,Camden,"Berlin borough, Camden County",2020,38732969,2466146
