Municipality,County,Year,Total Residential Electricity,Total Residential Natural Gas
Bordentown city,Burlington,2019,12152809,1156337
Bordentown city,Burlington,2020,12673725,1027156
Bordentown city,Burlington,2021,12744764,1110628
Bordentown township,Burlington,2015,37986679,3158929
Bordentown township,Burlington,2016,38089578,2782754
Bordentown township,Burlington,2017,35487326,2798078
Bordentown township,Burlington,2018,37760160,3219491
Bordentown township,Burlington,2019,35911148,3032277
Bordentown township,Burlington,2020,36806227,2744360
Bordentown township,Burlington,2021,36703844,2911453
Bound Brook borough,Somerset,2015,26391723,2955226
Bound Brook borough,Somerset,2016,26628374,2477177
Bound Brook borough,Somerset,2017,25856673,2641508
Bound Brook borough,Somerset,2018,27944885,3020504
Bound Brook borough,Somerset,2019,26861889,2880497
Bound Brook borough,Somerset,2020,27469123,2611304
Bound Brook borough,Somerset,2021,28299191,2753801
Bradley Beach borough,Monmouth,2015,16361855,1670301
Bradley Beach borough,Monmouth,2018,16521427,1702339
Bradley Beach borough,Monmouth,2019,16061520,1577333
Bradley Beach borough,Monmouth,2020,16889442,1455566
Bradley Beach borough,Monmouth,2021,17284653,1551611
Branchburg township,Somerset,2015,59621102,5537441
Branchburg township,Somerset,2016,449183,5095537
Branchburg township,Somerset,2017,428716,5221666
Branchburg township,Somerset,2018,59105086,5710339
Branchburg township,Somerset,2019,57165179,5564340
Branchburg township,Somerset,2020,58816849,5138791
Branchburg township,Somerset,2021,60378352,5350226
Brick township,Ocean,2015,305110883,21255519
Brick township,Ocean,2018,303174218,22538247
Brick township,Ocean,2019,291950296,21534973
Brick township,Ocean,2020,295496332,19402922
Brick township,Ocean,2021,303276702,20725854
Bridgeton city,Cumberland,2015,127618518,3128259
Bridgeton city,Cumberland,2016,119932240,2744149
Bridgeton city,Cumberland,2017,113143421,2741101
Bridgeton city,Cumberland,2018,118147045,3342269
Bridgeton city,Cumberland,2019,112214602,3143264
Bridgeton city,Cumberland,2020,114219742,2991417
Bridgeton city,Cumberland,2021,116902601,3309830
Bridgewater township,Somerset,2015,156222979,16523673
Bridgewater township,Somerset,2016,122738149,14579021
Bridgewater township,Somerset,2017,116811217,14881580
Bridgewater township,Somerset,2018,155370651,17265139
Bridgewater township,Somerset,2019,146732027,16116492
Bridgewater township,Somerset,2020,152105517,14642528
Bridgewater township,Somerset,2021,152914641,15313490
Brielle borough,Monmouth,2015,26111939,2259372
Brielle borough,Monmouth,2018,26433811,2287017
Brielle borough,Monmouth,2019,25844802,2207201
Brielle borough,Monmouth,2020,26558818,21859132
Brielle borough,Monmouth,2021,27143308,21864724
Brigantine city,Atlantic,2015,61141153,4277053
Brigantine city,Atlantic,2016,57961074,3625538
Brigantine city,Atlantic,2017,53773877,3556093
Brigantine city,Atlantic,2018,60330307,4461349
Brigantine city,Atlantic,2019,57385734,4002561
Brigantine city,Atlantic,2020,57919246,3568762
Brigantine city,Atlantic,2021,57323709,3952165
Brooklawn borough,Camden,2015,5705199,468625
Brooklawn borough,Camden,2016,5695864,431237
Brooklawn borough,Camden,2017,5404460,431068
Brooklawn borough,Camden,2018,5718784,493974
Brooklawn borough,Camden,2019,5480963,479137
Brooklawn borough,Camden,2020,5517468,427997
Brooklawn borough,Camden,2021,5542290,451410
Buena borough,Atlantic,2015,15399801,1179586
Buena borough,Atlantic,2016,14685681,1054097
